"Pattern","Replacement","Explanation","Date"
"*gwʰ","ś","tokharien, avant palatale","-inf"
"*gwʰ","ku","hittite","-inf"
"*s","῾ (h-)","grec ancien","-inf"
"*s","","grec ancien, amuïssement","-inf"
"*s","σ (s)","grec ancien","-inf"
"*s","-ς (-s)","grec ancien","-inf"
"*s","s","latin","-inf"
"*s","-r-","latin","-inf"
"*s","s","osque","-inf"
"*s","-z-","osque","-inf"
"*s","h-/Ø-","gallois","-inf"
"*s","","gallois, amuïssement","-inf"
"*s","s","gallois","-inf"
"*s","s","gaulois","-inf"
"*s","s-","vieil irlandais","-inf"
"*s","","vieil irlandais, amuïssement","-inf"
"*s","s","vieil irlandais","-inf"
"*s","s","gotique","-inf"
"*s","z","gotique, après voyelle atone","-inf"
"*s","s","norrois","-inf"
"*s","-r","norrois","-inf"
"*s","s","vieux haut allemand","-inf"
"*s","-r/-Ø","vieux haut allemand","-inf"
"*s","s","anglo-saxon","-inf"
"*s","-r/-Ø","anglo-saxon","-inf"
"*s","r","anglo-saxon, après voyelle atone","-inf"
"*s","gj","albanais, avant voyelle tonique","-inf"
"*s","sh","albanais","-inf"
"*s","-h-","albanais","-inf"
"*s","h-","arménien classique","-inf"
"*s","","arménien classique, amuïssement","-inf"
"*s","s","lituanien","-inf"
"*s","s...š","lituanien, après i, u","-inf"
"*s","š","lituanien, après r","-inf"
"*s","s","letton","-inf"
"*s","s...š","letton, après i, u","-inf"
"*s","š","letton, après r","-inf"
"*s","s...š","vieux-slave","-inf"
"*s","x16","vieux-slave","-inf"
"*s","17","vieux-slave","-inf"
"*s","h-","avestique","-inf"
"*s","-h-","avestique","-inf"
"*s","s","avestique, avant p, t, k","-inf"
"*s","š16","avestique","-inf"
"*s","17","avestique","-inf"
"*s","s","sanskrit","-inf"
"*s","ṣ16","sanskrit","-inf"
"*s","17","sanskrit","-inf"
"*s","s-","tokharien","-inf"
"*s","s/ṣ","tokharien","-inf"
"*s","š","hittite","-inf"
"*l","λ (l)","grec ancien","-inf"
"*l","l","latin","-inf"
"*l","l","osque","-inf"
"*l","l","gallois","-inf"
"*l","ll-","gallois","-inf"
"*l","l","gaulois","-inf"
"*l","l","vieil irlandais","-inf"
"*l","l","gotique","-inf"
"*l","l","norrois","-inf"
"*l","l","vieux haut allemand","-inf"
"*l","l","anglo-saxon","-inf"
"*l","l","albanais","-inf"
"*l","-ll-","albanais","-inf"
"*l","l","arménien classique","-inf"
"*l","-ł","arménien classique","-inf"
"*l","ł","arménien classique, avant consonne","-inf"
"*l","l","lituanien","-inf"
"*l","l","letton","-inf"
"*l","l","vieux-slave","-inf"
"*l","r","avestique","-inf"
"*l","r","sanskrit","-inf"
"*l","l","tokharien A (tourfanien)","-inf"
"*l","ly","tokharien A (tourfanien), avant palatale","-inf"
"*l","l","tokharien B (koutchéen)","-inf"
"*l","ly","tokharien B (koutchéen), avant palatale","-inf"
"*l","l","hittite","-inf"
"*ḷ","αλ (al)/λα (la)","grec ancien","-inf"
"*ḷ","ol/ul","latin","-inf"
"*ḷ","úl","osque","-inf"
"*ḷ","ly","gallois","-inf"
"*ḷ","al","gallois, avant voyelle ou s","-inf"
"*ḷ","li...le","gaulois","-inf"
"*ḷ","al","gaulois, avant voyelle ou s","-inf"
"*ḷ","li","vieil irlandais","-inf"
"*ḷ","al","vieil irlandais, avant voyelle ou s","-inf"
"*ḷ","ul","gotique","-inf"
"*ḷ","ul/yl","norrois","-inf"
"*ḷ","ul/ol","vieux haut allemand","-inf"
"*ḷ","ul/yl/ol","anglo-saxon","-inf"
"*ḷ","uj/li/il/lu/ul","albanais","-inf"
"*ḷ","ał","arménien classique","-inf"
"*ḷ","iĺ","lituanien","-inf"
"*ḷ","uĺ","lituanien","-inf"
"*ḷ","il","letton","-inf"
"*ḷ","ĭl","vieux-slave","-inf"
"*ḷ","lǔ","vieux-slave","-inf"
"*ḷ","ərə","avestique","-inf"
"*ḷ","ṛ","sanskrit","-inf"
"*ḷ","äl","tokharien A (tourfanien)","-inf"
"*ḷ","äl","tokharien B (koutchéen)","-inf"
"*ḷ","al","tokharien B (koutchéen), tonique","-inf"
"*ḷ","al...ul","hittite","-inf"
"*lh₁, *lh₃, *lh₂","λη (lê)","grec ancien","-inf"
"*lh₁, *lh₃, *lh₂","λω (lô)","grec ancien","-inf"
"*lh₁, *lh₃, *lh₂","αλα (ala)","grec ancien","-inf"
"*lh₁, *lh₃, *lh₂","lā/al","latin","-inf"
"*lh₁, *lh₃, *lh₂","al","osque","-inf"
"*lh₁, *lh₃, *lh₂","law...lâ","gallois","-inf"
"*lh₁, *lh₃, *lh₂","lā","gaulois","-inf"
"*lh₁, *lh₃, *lh₂","lá","vieil irlandais","-inf"
"*lh₁, *lh₃, *lh₂","ul","gotique","-inf"
"*lh₁, *lh₃, *lh₂","ul/yl","norrois","-inf"
"*lh₁, *lh₃, *lh₂","ul/ol","vieux haut allemand","-inf"
"*lh₁, *lh₃, *lh₂","ul/yl/ol","anglo-saxon","-inf"
"*lh₁, *lh₃, *lh₂","al","albanais","-inf"
"*lh₁, *lh₃, *lh₂","ał","arménien classique","-inf"
"*lh₁, *lh₃, *lh₂","ìl","lituanien","-inf"
"*lh₁, *lh₃, *lh₂","il","letton","-inf"
"*lh₁, *lh₃, *lh₂","ĭl","vieux-slave","-inf"
"*lh₁, *lh₃, *lh₂","lǔ","vieux-slave","-inf"
"*lh₁, *lh₃, *lh₂","arə","avestique","-inf"
"*lh₁, *lh₃, *lh₂","īr/ūr","sanskrit","-inf"
"*lh₁, *lh₃, *lh₂","lā","tokharien A (tourfanien)","-inf"
"*lh₁, *lh₃, *lh₂","lā","tokharien B (koutchéen)","-inf"
"*lh₁, *lh₃, *lh₂","al(u)/(u)la","hittite","-inf"
"*m","μ (m)","grec ancien","-inf"
